36,21,7
24,16,13
24,17,13
20,12,10
26,13,9
20,17,5
20,16,5
20,21,8
19,21,8
15,53,8
15,52,8
10,14,7
10,15,7
42,27,9
41,27,9
24,13,12
24,12,12
24,19,14
24,20,14
13,17,17
13,18,17
14,45,12
15,46,12
20,30,10
20,31,10
23,23,15
21,16,5
21,17,5
24,12,13
24,11,13
11,21,6
9,22,6
22,20,13
22,19,13
22,10,10
22,9,10
32,12,14
32,13,14
11,18,6
19,51,15
27,16,13
27,15,13
22,14,4
23,14,4
24,55,10
24,54,10
40,13,11
40,12,11
19,14,5
24,27,16
23,12,12
23,13,12
24,13,15
23,13,15
23,15,14
23,14,14
28,15,10
28,14,10
34,26,19
20,21,9
19,21,9
8,23,9
9,23,9
22,17,5
22,16,5
22,11,16
18,18,4
5,28,12
23,7,11
24,7,11
24,18,13
24,19,13
10,26,11
25,9,10
25,10,10
34,6,8
32,7,8
23,8,11
8,16,7
9,16,7
27,13,10
27,12,10
23,48,12
16,48,12
24,56,10
44,31,5
44,30,5
23,18,16
23,19,16
27,14,6
27,15,6
21,14,10
23,12,14
12,22,6
12,21,6
24,47,12
24,18,18
23,17,18
42,23,6
41,23,6
7,19,6
7,18,6
23,16,10
25,15,10
23,14,15
40,14,11
41,13,11
28,16,9
25,37,17
25,38,17
29,17,9
29,16,9
23,18,14
23,17,14
37,25,7
42,25,7
24,14,15
21,14,6
21,13,6
14,11,12
14,10,12
20,49,16
19,49,16
13,17,6
13,16,6
23,6,11
23,17,16
11,23,5
32,14,17
37,15,17
14,51,8
14,52,8
29,12,10
29,13,10
25,14,14
25,15,14
21,30,10
21,31,10
24,8,11
24,9,11
23,18,18
10,19,12
10,19,11
43,21,7
44,21,7
19,31,10
19,30,10
16,34,6
17,34,6
31,14,17
30,14,17
8,44,9
44,43,9
19,18,8
15,52,9
15,51,9
23,37,16
23,36,16
11,24,14
24,38,15
23,38,15
9,15,7
41,14,7
24,15,10
23,14,10
24,11,14
23,26,19
22,26,19
41,25,11
42,25,11
18,17,5
18,16,5
23,22,18
9,45,11
8,45,11
39,12,6
10,14,6
23,16,14
25,11,11
25,12,11
21,30,11
21,29,11
33,17,18
33,16,18
26,13,4
16,14,4
14,18,6
14,17,6
23,35,15
24,35,15
15,15,16
15,14,16
22,21,15
22,22,15
16,9,13
16,10,13
24,43,14
24,42,14
5,26,10
4,26,10
8,24,8
7,24,8
43,22,7
25,8,11
9,20,11
10,20,11
6,31,6
6,32,6
23,52,10
24,52,10
24,18,14
24,17,14
26,12,9
24,14,5
24,14,4
19,10,16
18,10,16
44,24,7
7,23,8
6,23,8
29,15,16
29,16,16
15,53,9
15,54,9
24,13,16
23,13,16
24,47,14
24,46,14
20,15,5
22,5,8
21,5,8
15,9,13
15,10,13
11,26,11
21,15,5
8,20,7
32,13,6
32,14,6
6,26,10
15,51,8
24,13,13
24,14,13
16,47,16
17,47,16
5,27,12
23,11,11
18,15,4
18,16,4
42,24,8
43,24,8
17,48,16
18,48,16
13,53,8
13,52,8
43,25,7
11,19,5
40,17,5
24,18,16
24,19,16
27,16,10
27,15,10
27,30,10
27,31,10
20,54,14
19,54,14
23,17,12
