-9.375,-68.75,42
-9.375,-65.625,42
34.375,50,0
34.375,53.125,0
6.25,-75,42
9.375,-75,42
6.25,31.25,30
6.25,28.125,30
18.75,-68.75,-24
12.5,-100,-6
15.625,-100,-6
34.375,-87.5,24
34.375,-84.375,24
46.875,-34.375,12
15.625,-68.75,-24
56.25,-53.125,-12
-18.75,-75,-18
-18.75,-71.875,-18
62.5,-34.375,6
34.375,43.75,-6
6.25,-75,24
6.25,-71.875,24
31.25,31.25,42
28.125,31.25,42
65.625,-31.25,18
9.375,-81.25,12
25,-68.75,-30
25,-65.625,-30
-50,-40.625,-6
-53.125,-40.625,-6
28.125,34.375,42
25,34.375,42
40.625,50,-6
40.625,46.875,-6
-53.125,-37.5,-12
46.875,-56.25,-24
-43.75,-62.5,-24
6.25,-59.375,42
6.25,-56.25,42
-3.125,-65.625,6
-3.125,-68.75,6
-3.125,-21.875,6
-3.125,-18.75,6
18.75,53.125,30
21.875,53.125,30
9.375,-62.5,18
9.375,9.375,36
56.25,-62.5,6
59.375,-62.5,6
56.25,-62.5,-6
56.25,-59.375,-6
-37.5,-84.375,0
-37.5,-87.5,0
3.125,-81.25,6
3.125,-56.25,30
3.125,-53.125,30
37.5,-46.875,-18
34.375,-46.875,-18
6.25,-84.375,6
6.25,-87.5,6
