,voxel_col,x,y,z
206,206,20,15,5
2240,2240,22,5,8
2239,2239,21,5,8
7384,7384,15,9,13
7410,7410,15,10,13
5841,5841,11,26,11
207,207,21,15,5
1710,1710,8,20,7
745,745,32,13,6
771,771,32,14,6
4712,4712,6,26,10
3116,3116,15,51,8
7508,7508,24,13,13
7540,7540,24,14,13
11197,11197,16,47,16
11198,11198,17,47,16
6892,6892,5,27,12
5530,5530,23,11,11
56,56,18,15,4
64,64,18,16,4
2653,2653,42,24,8
2654,2654,43,24,8
11218,11218,17,48,16
11219,11219,18,48,16
3134,3134,13,53,8
3124,3124,13,52,8
1884,1884,43,25,7
296,296,11,19,5
269,269,40,17,5
10505,10505,24,18,16
10535,10535,24,19,16
4509,4509,27,16,10
4486,4486,27,15,10
4825,4825,27,30,10
4856,4856,27,31,10
9251,9251,20,54,14
9250,9250,19,54,14
6713,6713,23,17,12
10001,10001,23,40,15
4524,4524,8,17,10
4523,4523,7,17,10
2472,2472,8,17,8
2498,2498,8,18,8
3286,3286,38,10,9
3268,3268,38,9,9
4389,4389,25,11,10
8599,8599,25,19,14
8622,8622,25,20,14
1032,1032,14,22,6
1033,1033,15,22,6
4365,4365,24,10,10
4340,4340,24,9,10
