voxel_col,x,y,z
792,23,15,6
793,24,15,6
794,25,15,6
795,26,15,6
796,27,15,6
797,28,15,6
798,29,15,6
799,30,15,6
800,31,15,6
801,32,15,6
802,33,15,6
803,34,15,6
804,35,15,6
805,36,15,6
806,37,15,6
807,38,15,6
808,39,15,6
809,40,15,6
810,41,15,6
811,42,15,6
812,9,16,6
813,10,16,6
814,11,16,6
815,12,16,6
816,13,16,6
817,14,16,6
818,15,16,6
819,16,16,6
820,17,16,6
821,18,16,6
822,19,16,6
823,20,16,6
824,21,16,6
825,22,16,6
826,23,16,6
827,24,16,6
828,25,16,6
829,26,16,6
830,27,16,6
831,28,16,6
832,29,16,6
833,30,16,6
834,31,16,6
835,36,16,6
836,37,16,6
837,38,16,6
838,39,16,6
839,40,16,6
840,41,16,6
841,42,16,6
842,9,17,6
843,10,17,6
844,11,17,6
845,12,17,6
846,13,17,6
847,14,17,6
848,15,17,6
849,16,17,6
850,17,17,6
851,18,17,6
852,19,17,6
853,20,17,6
854,21,17,6
855,22,17,6
856,23,17,6
857,24,17,6
858,25,17,6
859,26,17,6
860,27,17,6
861,28,17,6
862,29,17,6
863,30,17,6
864,31,17,6
865,32,17,6
866,35,17,6
867,36,17,6
868,37,17,6
869,38,17,6
870,39,17,6
871,40,17,6
872,41,17,6
873,42,17,6
874,43,17,6
875,7,18,6
876,8,18,6
877,9,18,6
878,10,18,6
879,11,18,6
880,12,18,6
881,13,18,6
882,14,18,6
883,15,18,6
884,16,18,6
885,17,18,6
886,18,18,6
887,19,18,6
888,20,18,6
889,21,18,6
890,22,18,6
891,23,18,6
892,24,18,6
893,25,18,6
894,26,18,6
895,27,18,6
896,28,18,6
897,29,18,6
898,30,18,6
899,31,18,6
900,32,18,6
901,33,18,6
902,34,18,6
903,35,18,6
904,36,18,6
905,37,18,6
906,38,18,6
907,39,18,6
908,40,18,6
909,41,18,6
910,42,18,6
911,43,18,6
912,44,18,6
913,7,19,6
914,8,19,6
915,9,19,6
916,10,19,6
917,11,19,6
918,12,19,6
919,13,19,6
920,14,19,6
921,15,19,6
922,16,19,6
923,17,19,6
924,18,19,6
925,19,19,6
926,20,19,6
927,21,19,6
928,22,19,6
929,23,19,6
930,24,19,6
931,25,19,6
932,26,19,6
933,27,19,6
934,28,19,6
935,29,19,6
936,30,19,6
937,31,19,6
938,32,19,6
939,33,19,6
940,34,19,6
941,35,19,6
942,36,19,6
943,37,19,6
944,38,19,6
945,39,19,6
946,40,19,6
947,41,19,6
948,42,19,6
949,43,19,6
950,44,19,6
951,45,19,6
952,7,20,6
953,8,20,6
954,9,20,6
955,10,20,6
956,11,20,6
957,12,20,6
958,13,20,6
959,14,20,6
960,15,20,6
961,16,20,6
962,17,20,6
963,18,20,6
964,19,20,6
965,20,20,6
966,21,20,6
967,22,20,6
968,23,20,6
969,24,20,6
970,25,20,6
971,26,20,6
972,27,20,6
973,28,20,6
974,29,20,6
975,30,20,6
976,31,20,6
977,32,20,6
978,33,20,6
979,34,20,6
980,35,20,6
981,36,20,6
982,37,20,6
983,38,20,6
984,39,20,6
985,40,20,6
986,41,20,6
987,42,20,6
988,43,20,6
989,44,20,6
990,45,20,6
991,8,21,6
992,9,21,6
993,10,21,6
994,11,21,6
995,12,21,6
996,13,21,6
997,14,21,6
998,15,21,6
999,16,21,6
1000,17,21,6
1001,18,21,6
1002,19,21,6
1003,20,21,6
1004,21,21,6
1005,22,21,6
1006,23,21,6
1007,24,21,6
1008,25,21,6
1009,26,21,6
1010,27,21,6
1011,28,21,6
1012,29,21,6
1013,30,21,6
1014,31,21,6
1015,32,21,6
1016,33,21,6
1017,34,21,6
1018,35,21,6
1019,36,21,6
1020,37,21,6
1021,38,21,6
1022,39,21,6
1023,40,21,6
1024,41,21,6
1025,42,21,6
1026,43,21,6
1027,44,21,6
1028,45,21,6
1029,9,22,6
1030,12,22,6
1031,13,22,6
1032,14,22,6
1033,15,22,6
1034,16,22,6
1035,17,22,6
1036,18,22,6
1037,19,22,6
1038,20,22,6
1039,21,22,6
1040,22,22,6
1041,23,22,6
1042,24,22,6
1043,25,22,6
1044,26,22,6
1045,27,22,6
1046,28,22,6
1047,29,22,6
1048,30,22,6
1049,31,22,6
1050,32,22,6
1051,33,22,6
1052,34,22,6
1053,35,22,6
1054,36,22,6
1055,37,22,6
1056,38,22,6
1057,39,22,6
